Time,Open,High,Low,Close
 2011/05/13,20.27,20.96,20.03,20.44
 2011/05/20,20.48,20.93,19.88,19.93
 2011/05/27,19.93,19.94,18.68,18.71
 2011/06/03,18.65,19.25,18.23,18.9
 2011/06/10,18.99,19.25,18.05,18.45
 2011/06/17,18.3,18.78,17.52,17.63
 2011/06/24,17.62,18.2,16.92,18.07
 2011/07/01,18.07,18.43,17.75,18.19
 2011/07/08,18.29,19.59,18.25,18.84
 2011/07/15,18.85,18.96,18.2,18.62
 2011/07/22,18.75,19.3,18.4,18.45
 2011/07/29,18.37,18.37,17.17,17.23
 2011/08/05,17.26,18.29,17.04,17.27
 2011/08/12,17,17,14.93,15.97
 2011/08/19,16.07,16.49,15.11,15.31
 2011/08/26,15.3,16.06,15.16,15.97
 2011/09/02,15.98,16.48,15.28,15.41
 2011/09/09,15.34,15.47,14.9,15.07
 2011/09/16,14.9,15.2,14.75,15
 2011/09/23,15.07,15.3,14.38,14.6
 2011/09/30,14.49,14.84,13.8,13.96
 2011/10/14,13.95,14.41,13.68,14.32
 2011/10/21,14.36,14.52,12.84,12.85
 2011/10/28,12.86,13.79,12.76,13.72
 2011/11/04,13.72,15.05,13.58,14.61
 2011/11/11,14.4,14.61,13.89,14.14
 2011/11/18,14.3,15.29,13.6,13.64
 2011/11/25,13.54,13.78,13.15,13.33
 2011/12/02,13.36,13.5,12.55,12.96
 2011/12/09,12.98,12.98,12.14,12.2
 2011/12/16,12.25,12.27,10.81,11.18
 2011/12/23,11.23,11.49,10.21,10.73
 2011/12/30,10.72,11.43,9.92,11.18
 2012/01/06,11.21,11.35,10.23,10.66
 2012/01/13,10.69,12.24,10.42,11.23
 2012/01/20,10.89,11.75,10.85,11.25
 2012/02/03,11.3,11.36,10.85,11.3
 2012/02/10,11.3,11.7,10.93,11.54
 2012/02/17,11.4,12.09,11.35,11.84
 2012/02/24,12.02,12.48,11.72,12.41
 2012/03/02,12.5,12.82,12.18,12.56
 2012/03/09,12.59,12.76,11.92,12.52
 2012/03/16,12.54,12.83,11.94,12.56
 2012/03/23,12.45,12.48,11.3,11.4
 2012/03/30,11.4,12.1,9.98,10.16
 2012/04/06,10.25,10.43,10.1,10.34
 2012/04/13,10.33,10.44,9.88,10.43
 2012/04/20,10.33,10.66,10.2,10.55
 2012/04/27,10.5,10.59,9.98,10.32
 2012/05/04,10.51,10.56,10.2,10.51
 2012/05/11,10.45,10.76,10.2,10.21
 2012/05/18,10.3,10.35,9.88,9.9
 2012/05/25,9.94,10.48,9.61,10.07
 2012/06/01,10,10.34,9.74,10.03
 2012/06/08,9.87,9.87,9.43,9.44
 2012/06/15,9.49,9.65,9.37,9.55
 2012/06/21,9.6,9.68,9.3,9.32
 2012/06/29,9.31,9.31,8.45,8.73
 2012/07/06,8.78,8.9,8.43,8.66
 2012/07/13,8.58,8.68,8.27,8.48
 2012/07/20,8.5,8.51,7.96,8.19
 2012/07/27,8.08,8.17,7.92,7.98
 2012/08/03,7.98,8.27,7.63,7.84
 2012/08/10,7.84,8.35,7.84,8.23
 2012/08/17,8.13,8.16,7.74,7.81
 2012/08/24,7.72,7.88,7.47,7.48
 2012/08/31,7.43,7.44,7.02,7.13
 2012/09/07,7.13,7.44,6.85,7.34
 2012/09/14,7.32,7.78,7.28,7.45
 2012/09/21,7.4,7.48,6.79,6.8
 2012/09/28,6.8,7.07,6.55,7.06
 2012/10/12,7.06,7.22,6.92,6.99
 2012/10/19,7.04,7.21,6.82,7.12
 2012/10/26,7.06,7.32,6.8,6.81
 2012/11/02,6.81,7.06,6.65,7.03
 2012/11/09,7,7.05,6.59,6.64
 2012/11/16,6.64,6.7,6.1,6.19
 2012/11/23,6.19,6.34,6.13,6.26
 2012/11/30,6.23,6.27,5.7,5.76
 2012/12/07,5.75,5.95,5.43,5.94
 2012/12/14,5.95,6.27,5.92,6.24
 2012/12/21,6.25,6.53,6.18,6.24
 2012/12/28,6.24,6.46,6.15,6.35
 2013/01/04,6.37,6.74,6.29,6.71
 2013/01/11,6.68,7.4,6.55,7.1
 2013/01/18,7.05,7.65,7.01,7.3
 2013/01/25,7.31,7.31,6.69,6.72
 2013/02/01,6.76,6.97,6.63,6.69
 2013/02/08,6.74,6.85,6.55,6.8
 2013/02/22,6.84,7.14,6.57,6.59
 2013/03/01,6.65,7.83,6.5,7.49
 2013/03/08,7.45,7.71,7.19,7.23
 2013/03/15,7.24,7.24,6.65,6.84
 2013/03/22,6.84,7.27,6.49,7.02
 2013/03/29,7.01,7.05,6.61,6.62
 2013/04/03,6.59,6.69,6.5,6.52
 2013/04/12,6.38,6.81,6.15,6.64
 2013/04/19,6.55,6.86,6.33,6.6
 2013/04/26,6.54,6.91,6.38,6.74
 2013/05/03,6.69,6.97,6.65,6.72
 2013/05/10,6.68,6.72,6.25,6.38
 2013/05/17,6.41,7.18,6.27,6.93
 2013/05/24,6.93,7.38,6.87,7.04
 2013/05/31,7.1,7.54,7,7.12
 2013/06/07,7.35,7.48,6.6,6.87
 2013/06/14,6.75,7.19,6.51,6.92
 2013/06/21,7,7.07,6.18,6.4
 2013/06/28,6.36,6.39,5.25,5.46
 2013/07/05,5.49,5.84,5.41,5.62
 2013/07/12,5.58,5.67,5.19,5.46
 2013/07/19,5.48,6.04,5.48,5.55
 2013/07/26,5.42,5.98,5.37,5.86
 2013/08/02,6.02,6.2,5.62,5.72
 2013/08/09,5.75,6.08,5.66,5.78
 2013/08/16,5.8,6.35,5.76,5.98
 2013/08/23,6,6.45,5.95,6.14
 2013/08/30,6.15,6.79,6.05,6.24
 2013/09/06,6.3,6.43,6.1,6.13
 2013/09/13,6.12,6.58,6.07,6.42
 2013/09/18,6.4,6.59,6.26,6.43
 2013/09/27,6.44,6.68,6.15,6.31
 2013/09/30,6.35,6.48,6.32,6.34
 2013/10/11,6.33,6.55,6.16,6.24
 2013/10/18,6.25,6.55,6.11,6.21
 2013/10/25,6.2,6.52,5.74,5.81
 2013/11/01,5.78,5.93,5.23,5.4
 2013/11/08,5.47,5.48,5.13,5.17
 2013/11/15,5.17,5.32,5.13,5.28
 2013/11/22,5.29,5.46,5.27,5.29
 2013/11/29,5.29,5.87,5.23,5.67
 2013/12/06,5.79,5.92,5.59,5.61
 2013/12/13,5.56,5.61,5.31,5.32
 2013/12/20,5.32,5.37,5.17,5.21
 2013/12/27,5.18,5.36,5.11,5.19
 2014/01/03,5.2,5.32,5.12,5.2
 2014/01/10,5.16,5.16,4.58,4.6
 2014/01/17,4.6,4.7,4.48,4.49
 2014/01/24,4.45,4.71,4.42,4.69
 2014/01/30,4.65,4.67,3.84,3.96
 2014/02/07,3.91,4.07,3.89,4.03
 2014/02/14,4.03,4.24,4.02,4.18
 2014/02/21,4.16,5.4,4.16,4.79
 2014/02/28,4.79,5.25,4.34,5.14
 2014/03/07,5,5.1,4.75,4.83
 2014/03/14,4.78,4.78,3.88,3.88
 2014/03/21,3.86,4.24,3.83,4.09
 2014/03/28,4.11,4.32,4.1,4.32
 2014/04/04,4.45,4.53,4.17,4.41
 2014/04/11,4.36,4.75,4.34,4.67
 2014/04/18,4.67,4.67,4.47,4.63
 2014/04/25,4.65,4.98,4.6,4.73
 2014/04/30,4.74,4.74,4.45,4.73
 2014/05/09,4.71,4.94,4.68,4.76
 2014/05/16,4.81,5.02,4.78,4.84
 2014/05/23,4.84,4.84,4.56,4.7
 2014/05/30,4.7,4.72,4.53,4.61
 2014/06/06,4.61,4.63,4.48,4.58
 2014/06/13,4.55,4.62,4.5,4.54
 2014/06/20,4.55,4.55,4.13,4.17
 2014/06/27,4.17,4.43,4.17,4.35
 2014/07/04,4.35,4.5,4.32,4.45
 2014/07/11,4.43,4.45,4.3,4.39
 2014/07/18,4.43,4.61,4.42,4.49
 2014/07/25,4.51,4.65,4.44,4.61
 2014/08/01,4.65,4.8,4.63,4.67
 2014/08/08,4.67,5.09,4.64,4.94
 2014/08/15,4.95,5.35,4.95,5.25
 2014/08/22,5.27,5.65,5.25,5.45
 2014/08/29,5.41,5.48,5.11,5.33
 2014/09/05,5.37,5.73,5.33,5.65
 2014/09/12,5.66,6.16,5.52,6.16
 2014/09/19,6.12,6.55,5.97,6.39
 2014/09/26,6.39,7.29,6.25,7.29
 2014/09/30,7.36,8.03,7.29,7.42
 2014/10/10,7.45,8.05,7.2,7.81
 2014/10/17,7.8,7.82,6.8,6.95
 2014/10/24,6.9,7.33,6.52,6.58
 2014/10/31,6.6,7.18,6.6,7.06
 2014/11/07,7.06,7.28,6.89,7.12
 2014/11/14,7.11,7.25,6.56,6.74
 2014/11/21,6.78,7.26,6.63,7.15
 2014/11/28,7.17,7.53,7.09,7.3
 2014/12/04,7.32,7.34,7.05,7.19
 2014/12/12,7.55,7.55,6.95,7
 2014/12/19,6.96,7.02,6.4,6.42
 2014/12/26,6.42,6.7,5.92,6.65
 2014/12/31,6.66,6.7,6.32,6.69
 2015/01/09,6.89,8.54,6.77,7.72
 2015/01/16,7.51,7.82,7.13,7.73
 2015/01/23,7.5,7.76,7.17,7.6
 2015/01/30,7.63,8.47,7.58,8.26
 2015/02/06,7.98,8.2,7.42,7.51
 2015/02/13,7.51,8.19,7.47,8.15
 2015/02/17,8.16,8.27,8.1,8.2
 2015/02/27,8.22,8.79,8.17,8.67
 2015/03/06,8.7,9.89,8.6,9.62
 2015/03/13,9.6,10,9.16,9.7
 2015/03/20,9.75,12.11,9.68,11.56
 2015/03/27,11.73,11.78,11,11.34
 2015/04/03,11.35,12.94,11.3,12.52
 2015/04/10,12.52,13.27,11.7,12.16
 2015/04/17,12.16,12.88,11.75,12.58
 2015/04/24,12.5,14.18,12,13.03
 2015/04/30,13,13.3,12.08,12.36
 2015/05/08,12.65,13.2,11,11.43
 2015/05/15,11.59,12.75,11.44,12.18
 2015/05/22,11.95,13.27,11.76,13.18
 2015/05/29,13.18,14.83,12,12.64
 2015/06/05,12.93,17.13,12.78,17.13
 2015/06/12,18.57,18.57,15.89,16.76
 2015/06/19,16.69,18.07,14.4,14.4
