Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     
 2011/04/22,3040.53,3067.46,2992.67,3010.52,6852738,84.76,83.13
 2011/04/29,3003.03,3003.61,2871.01,2911.51,5747567,65.83,77.37
 2011/05/06,2911.51,2933.46,2834.46,2863.89,4341610,48.1,67.61
 2011/05/13,2868.24,2897.14,2832.25,2871.03,4830255,37.56,57.59
 2011/05/20,2864.38,2884.14,2821.2,2858.46,4363916,30.09,48.43
 2011/05/27,2853.29,2853.29,2708.55,2709.95,4512446,20.19,39.01
 2011/06/03,2704.48,2744.93,2676.54,2728.02,4032048,17.85,31.96
 2011/06/10,2720.97,2754.12,2672.32,2705.14,3206801,14.67,26.19
 2011/06/17,2687.65,2735.55,2641.39,2642.82,3856622,9.89,20.76
 2011/06/24,2635.83,2759.71,2610.99,2746.21,4234775,18.07,19.86
 2011/07/01,2746.79,2778.67,2727.25,2759.36,5039123,27.39,22.37
 2011/07/08,2770.94,2825.12,2770.94,2797.77,5846371,40.01,28.25
 2011/07/15,2789.45,2821.34,2752.19,2820.17,5071413,52.2,36.24
 2011/07/22,2821.36,2826.96,2763.42,2770.79,4368523,56.79,43.09
 2011/07/29,2759.63,2759.63,2677.12,2701.73,4184778,51.86,46.01
 2011/08/05,2697.57,2712.89,2605.14,2626.42,3304193,37.77,43.27
 2011/08/12,2599.29,2614.19,2437.68,2593.17,5071639,38.5,41.68
 2011/08/19,2598.14,2636.36,2513.75,2534.36,3856087,33.94,39.1
 2011/08/26,2534.57,2616.64,2507.78,2612.19,3700092,37.57,38.59
 2011/09/02,2595.47,2615.14,2517.62,2528.28,3205037,32.81,36.66
 2011/09/09,2510.1,2528.42,2459.54,2497.75,2704451,27.01,33.45
 2011/09/16,2467.73,2499.48,2439.37,2482.34,2079872,21.83,29.57
 2011/09/23,2469.6,2517.67,2400.14,2433.16,3236998,17.62,25.59
 2011/09/30,2416.23,2441.73,2348.22,2359.22,2764243,12.75,21.31
 2011/10/14,2363.08,2439.64,2318.63,2431.37,3457628,20.33,20.98
 2011/10/21,2434.49,2452.99,2313.78,2317.28,3101898,13.91,18.63
 2011/10/28,2322.02,2483.76,2307.15,2473.41,4616515,27.18,21.48
 2011/11/04,2470.25,2536.78,2433.72,2528.29,5169830,42.06,28.34
 2011/11/11,2518.9,2536.18,2472.76,2481.08,3889968,53.28,36.65
 2011/11/18,2498.67,2534.06,2411.04,2416.56,3924346,51.41,41.57
 2011/11/25,2416.73,2419.24,2370.69,2380.22,2496779,44.88,42.67
 2011/12/02,2383.89,2423.56,2319.44,2360.66,3363176,37.69,41.01
 2011/12/09,2363.11,2363.13,2302.64,2315.27,2311642,26.92,36.31
 2011/12/16,2312.15,2315.81,2170.75,2224.84,2563177,22.87,31.83
 2011/12/23,2208.07,2239.86,2149.42,2204.78,2728641,20.01,27.89
 2011/12/30,2193.66,2213.45,2134.02,2199.42,2356521,18.75,24.85
