Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     
 1990/12/31,96.05,127.61,95.79,127.61,15,100,100
 1991/01/31,127.61,135.19,127.61,129.97,663,95.58,98.53
 1991/02/28,129.5,134.87,128.06,133.01,502,95.21,97.42
 1991/03/29,132.53,132.53,120.11,120.19,234,84.12,92.99
 1991/04/30,120.69,122.2,113.89,113.94,696,71.43,85.8
 1991/05/31,113.04,114.83,104.96,114.83,757,63.73,78.45
 1991/06/28,115.9,137.56,114.89,137.56,770,75.82,77.57
 1991/07/31,136.64,143.8,131.87,143.8,1589,83.88,79.67
 1991/08/30,145.12,178.43,143.8,178.43,799,89.25,82.87
 1991/09/30,180.08,191.18,178.43,180.92,2851,88.87,84.87
 1991/10/31,181.55,218.6,179.8,218.6,2223,92.58,87.44
 1991/11/29,220.71,259.85,218.6,259.6,953,95,89.96
 1991/12/31,261.78,292.75,259.67,292.75,424,96.67,92.19
 1992/01/31,293.74,313.24,292.76,313.24,160,97.78,94.06
 1992/02/28,314.18,364.67,313.24,364.66,1075,98.52,95.54
 1992/03/31,365.15,382.06,364.66,381.24,1604,98.9,96.66
 1992/04/30,381.55,448.94,381.01,445.38,5094,98.88,97.4
 1992/05/29,454.86,1429.01,439.96,1234.71,10722,94.07,96.29
 1992/06/30,1175.69,1249.58,1033.47,1191.19,7931,89.7,94.1
 1992/07/31,1199.54,1215.24,961.61,1052.07,13873,82.76,90.32
 1992/08/31,1034.7,1060.36,627.36,823.27,20394,71.24,83.96
 1992/09/30,826.96,832.84,595.42,702.32,20889,59.51,75.81
 1992/10/30,676.47,713.77,447.93,507.25,20456,45.47,65.69
 1992/11/30,471.18,752.32,386.85,724.6,32508,41.58,57.66
 1992/12/31,718.99,841.02,592.78,780.39,47608,40.43,51.91
 1993/01/29,784.13,1198.48,777.16,1198.48,73408,52.91,52.25
 1993/02/26,1242.35,1558.95,1196.47,1339.88,122747,62.38,55.62
 1993/03/31,1328.22,1339.1,913.74,925.91,76208,56.91,56.05
 1993/04/30,921.59,1392.62,915.59,1358.78,129973,65.58,59.23
 1993/05/31,1365.15,1380.5,930.64,935.48,66114,59.33,59.26
 1993/06/30,935.9,1177.91,859.48,1007.05,90641,57.19,58.57
 1993/07/30,1000.8,1009.89,777.73,881.07,65594,52.18,56.44
 1993/08/31,885.31,1042.47,823,895.68,149758,45.24,52.71
 1993/09/30,898.01,947.53,864.38,890.27,61938,34.98,46.8
 1993/10/29,895.69,934.4,774.54,814.82,151446,25.03,39.54
 1993/11/30,801.86,1011.76,793.32,984.93,269265,28.03,35.71
 1993/12/31,993.67,1044.85,750.46,833.8,281854,23.02,31.48
 1994/01/31,837.7,907.09,760.78,770.25,242444,16.39,26.45
 1994/02/28,770.25,818.57,749.63,770.98,150684,12.59,21.83
 1994/03/31,771.52,807.52,694.03,704.46,535396,9.38,17.68
 1994/04/29,704.93,705.41,536.34,592.56,393132,9.94,15.1
 1994/05/31,593.94,620.94,537.78,556.26,419438,7.93,12.71
 1994/06/30,554.08,556.9,458.74,469.29,211912,5.89,10.44
 1994/07/29,469.27,469.43,325.89,333.92,154277,4.3,8.39
 1994/08/31,394.87,787.22,377.97,785.33,2073209,24.17,13.65
 1994/09/30,785.61,1052.94,785.56,791.15,1487521,37.44,21.58
 1994/10/31,770.9,794.85,546.79,654.98,655763,40.05,27.74
 1994/11/30,667.66,743.22,648.68,683.59,323854,43.1,32.86
 1994/12/30,684.02,695.22,620.47,647.87,216329,43.49,36.4
 1995/01/27,637.72,657.45,547.38,562.59,77291,39.85,37.55
 1995/02/28,559.78,608.58,524.43,549.26,103857,36.81,37.3
 1995/03/31,548.91,648.04,545.72,646.92,293717,39.26,37.95
 1995/04/28,651.04,681.15,547.21,579.93,303829,36.14,37.35
 1995/05/31,576.69,926.41,564.86,700.51,613262,35.2,36.63
 1995/06/30,703.72,722.3,625.7,630.58,266575,32.27,35.18
 1995/07/31,623.14,723.68,610.33,695.55,669986,35.7,35.35
 1995/08/31,697.22,788.16,688.65,723.87,1000431,40.34,37.02
 1995/09/29,726.05,792.54,699.1,722.43,599253,43.31,39.11
 1995/10/31,724.04,765.48,693.86,717.32,712074,44.87,41.03
 1995/11/30,716.46,736.91,632.03,641.14,330164,38.27,40.11
 1995/12/29,631.55,643.36,552.84,555.29,176710,26.22,35.48
 1996/01/31,550.26,561.36,512.83,537.35,252877,19.46,30.14
 1996/02/16,536.24,553.83,518.18,552.94,93695,17.75,26.01
 1996/03/29,583.38,606.51,549.71,556.39,269754,17.03,23.02
 1996/04/30,566.21,739.1,556.23,681.15,748375,31.41,25.81
 1996/05/31,715.98,724.97,630.52,643.65,804629,36.53,29.39
 1996/06/28,643.95,819.68,636.49,804.25,1219443,56.01,38.26
 1996/07/31,800.9,894.72,753.75,822.47,1400978,64.37,46.96
 1996/08/30,823.17,894.85,766.7,809.93,811990,68.83,54.25
 1996/09/27,812.94,875.52,752.68,875.52,885025,77.54,62.01
 1996/10/31,887.85,1038.81,852.83,976.71,1846920,81.05,68.36
 1996/11/29,935.17,1047.39,896.87,1032.94,1368464,86.4,74.37
 1996/12/31,1056.67,1258.68,855.84,917.01,2170212,74.72,74.49
 1997/01/31,914.06,967.89,871.78,964.74,689181,67.55,72.17
 1997/02/28,969.53,1040.17,870.18,1040.02,773410,66.65,70.33
 1997/03/31,1044.61,1234.95,1043.92,1234.61,1861120,76.18,72.28
 1997/04/30,1243.87,1396.48,1222.55,1393.74,2117321,83.98,76.18
 1997/05/30,1398.14,1510.17,1213.24,1285.18,1562594,79.42,77.26
 1997/06/27,1302.82,1369.51,1154.97,1250.27,973748,73.1,75.87
 1997/07/31,1255.9,1261.57,1066.04,1189.76,908400,65.74,72.5
 1997/08/29,1191.65,1223.07,1116.14,1221.06,925144,62.43,69.14
 1997/09/30,1224.17,1264.48,1025.13,1097.38,923465,53.46,63.91
 1997/10/31,1100.7,1241.83,1087.01,1180.39,704296,51.79,59.87
 1997/11/28,1181.16,1213.22,1114.13,1139.62,634696,42.4,54.05
 1997/12/31,1137.58,1198.97,1119.2,1194.1,669364,39.88,49.33
 1998/01/23,1200.94,1250,1110.08,1222.91,708196,40.18,46.28
 1998/02/27,1257.99,1262.62,1189.51,1206.53,602697,44.34,45.63
 1998/03/31,1196.74,1252.24,1175.55,1243.01,859723,59.91,50.39
 1998/04/30,1243.37,1343.46,1240.05,1343.44,2239798,73.27,58.02
 1998/05/29,1353.05,1411.34,1324.72,1411.2,1891089,82.17,66.07
 1998/06/30,1418.35,1422.97,1323.52,1339.2,1422142,79.8,70.64
 1998/07/31,1363.26,1367.14,1278.3,1316.91,1072064,75.23,72.17
 1998/08/31,1315.13,1315.47,1043.02,1150.22,1154731,59.56,67.97
 1998/09/30,1142.5,1264.39,1123.63,1242.89,1550170,57.24,64.39
 1998/10/30,1245.73,1263.71,1191.55,1217.31,1171619,53.45,60.75
 1998/11/30,1217.33,1300.15,1210.84,1247.41,1224131,53.57,58.35
 1998/12/31,1249,1251.86,1125.55,1146.7,723221,44.81,53.84
 1999/01/29,1144.88,1174.42,1104.5,1134.67,931160,37.91,48.53
 1999/02/09,1131.65,1131.66,1064.17,1090.08,276356,29.4,42.15
 1999/03/31,1092.14,1179.65,1084.15,1158.05,1367199,31.43,38.58
 1999/04/30,1158.68,1210.1,1087.79,1120.92,1621355,30.49,35.88
 1999/05/31,1120.9,1303.48,1047.83,1279.32,2285235,50.51,40.76
 1999/06/30,1283.3,1756.18,1259,1689.42,6404485,63.86,48.46
 1999/07/30,1678.83,1678.83,1471.5,1601.45,3671153,68.63,55.18
 1999/08/31,1607.06,1658.69,1546.83,1627.11,2371208,73.01,61.12
 1999/09/30,1627.82,1695.64,1556.74,1570.7,1632967,73.28,65.18
 1999/10/29,1568.23,1568.37,1452.7,1504.56,1019668,70.35,66.9
 1999/11/30,1501.73,1506.99,1427.35,1434.97,1294462,65.11,66.3
 1999/12/30,1434.97,1461.89,1341.05,1366.58,1100448,58.41,63.67
 2000/01/28,1368.69,1547.7,1361.21,1534.99,2907630,61.86,63.07
 2000/02/29,1591.44,1770.88,1583.58,1714.57,3728387,70.91,65.68
 2000/03/31,1720.59,1811.06,1596.07,1800.22,4689867,79.84,70.4
 2000/04/28,1799.57,1858.26,1746.3,1836.32,2990685,85.14,75.32
 2000/05/31,1848.17,1908.3,1695.53,1894.55,2101113,89.29,79.97
 2000/06/30,1900.53,1953.33,1884.61,1928.1,3118640,91.49,83.81
 2000/07/31,1917.44,2024.99,1888.24,2023.53,3220601,94.25,87.29
 2000/08/31,2027.01,2114.52,1980.34,2021.19,3762162,92.15,88.91
 2000/09/29,2009.15,2026.35,1874.21,1910.16,1543119,85.72,87.85
 2000/10/31,1912.07,1980.62,1896.94,1961.28,1294944,80.86,85.52
 2000/11/30,1961.08,2125.72,1959.72,2070.61,2510430,83.77,84.94
 2000/12/29,2073.08,2097.28,2024.28,2073.47,2536595,85.13,85
 2001/01/19,2077.07,2131.98,2007.7,2065.6,1826850,85.02,85.01
 2001/02/28,2069.85,2072.54,1893.78,1959.18,1250812,67.67,79.23
 2001/03/30,1959,2112.87,1953.72,2112.77,3514745,75.96,78.14
