Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     ,dollarindex
19900131,403.1,423.5,392.4,412.3,0,81.45,73.642,92.41
19900228,412.4,424.6,405.2,406.4,0,82.072,76.452,93.29
19900330,406.5,407.8,362.5,370.5,0,71.519,74.808,93.73
19900430,370.25,381.25,365.5,368.6,0,63.903,71.173,93.07
19900531,368.75,377.1,360.5,363.7,0,57.329,66.558,92.98
19900629,363.7,364.2,340,357,0,50.899,61.338,91.15
19900731,357.15,374.3,350.6,370.2,0,45.831,56.169,87.17
19900831,370.3,416.75,369.8,383,0,47.497,53.278,86.61
19900928,385.6,408.5,376.25,402.9,0,56.448,54.335,86
19901031,399.75,399.75,359,379.2,0,53.077,53.916,83.22
19901130,380,389.3,374.2,382,0,53.626,53.819,83
19901231,380.3,393.5,367,392.9,0,58.726,55.455,83.13
19910131,391.7,409.2,363.9,366.3,0,50.573,53.827,81.92
19910228,366.25,370.9,355,366.5,0,45.224,50.96,84.12
19910329,366.45,370.86,353.2,355.3,0,32.518,44.812,92.04
19910430,355.3,365.1,349.8,356.2,0,24.865,38.163,91.59
19910531,356.1,364.3,352.53,361.2,0,22.974,33.1,93.13
19910628,359.8,373.7,359.4,367.98,0,25.518,30.573,96.06
19910731,368.4,371.87,360.7,363.7,0,24.812,28.653,93.45
19910830,363.7,365.3,345.48,348.27,0,18.001,25.102,93.49
19910930,348,356,342,353.8,0,17.854,22.686,89.9
19911031,353.8,364.6,351,357.6,0,28.306,24.559,89.93
19911129,357.97,369.8,352.6,367.7,0,45.895,31.671,88.19
19911231,367.7,371.8,351.5,354.1,0,43.32,35.554,83.52
19920131,350.89,358.75,349.39,354.1,0,41.604,37.571,87.49
19920228,356.39,357.2,348.64,353.1,0,39.408,38.183,88.99
19920331,350.45,351.35,337.79,341.79,0,30.184,35.517,89.65
19920430,344,344,335.6,336.35,0,20.813,30.616,89.62
19920529,337.5,339.5,335.2,337.5,0,15.97,25.734,87.22
19920630,336.85,343.79,336.85,343.39,0,18.106,23.191,83.72
19920731,343.54,359.6,343.54,357.85,0,32.699,26.36,81.91
19920831,354.04,354.04,335.7,341,0,27.082,26.601,78.88
19920930,341.7,349.7,338.85,349,0,36.907,30.036,81.1
19921030,348.54,350.5,336.1,339.79,0,30.875,30.316,87.63
19921130,338.7,341.6,328,334.29,0,27.218,29.283,90.84
19921231,334.35,339.5,331.1,333.1,0,23.525,27.364,92.36
19930129,332.64,333.2,326.39,330.2,0,19.508,24.745,92.42
19930226,329.25,333.5,326.39,328.39,0,15.013,21.501,94.01
19930331,329.45,341.5,325.5,337.29,0,21.533,21.512,91.87
19930430,336.75,357.1,334.7,356.1,0,46.634,29.886,89.5
19930531,356.25,385.02,351.5,379.25,0,61.191,40.321,88.96
19930630,378.5,380.89,360.14,378.1,0,70.252,50.298,93.61
19930730,376.7,407.7,376.7,407.29,0,80.002,60.199,95.43
19930831,407.5,409.75,364,372.1,0,71.772,64.057,93.94
19930930,371.89,372.75,340.6,354.89,0,59.476,62.53,92.82
19931029,354.25,375.5,348.39,369.5,0,57.059,60.706,95.01
19931130,368.29,380.5,359.79,370.79,0,55.958,59.124,96.14
19931231,370.6,393.2,368.75,390.2,0,61.956,60.068,96.85
19940131,390.45,396.89,375,381.89,0,61.207,60.448,95.59
19940228,381.6,390.5,374.29,381.75,0,60.641,60.512,94.55
19940331,381.25,393.6,373.1,392.1,0,65.253,62.092,93.06
