Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     ,mlcadd,mlcdec
20080801,928.2,933.2,893.5,908.75,0,59.29,64.722,0,0
20080808,909.6,915.5,850.5,854.95,0,40.604,56.682,0,0
20080815,855.55,865.7,773,785.45,0,28.998,47.454,0,0
20080822,791.5,839,782.05,821.55,0,26.852,40.587,0,0
20080829,821.3,844.2,806.7,830.25,0,26.769,35.981,0,0
20080905,832.7,835.5,789.05,801.5,0,22.261,31.407,0,0
20080912,811.25,818.3,736,762.45,0,18.336,27.05,0,0
20080919,777.25,918.8,764.5,869.7,0,30.778,28.293,0,0
20080926,874,911.4,861.4,883.65,0,45.477,34.021,0,0
20081003,876.1,919.8,818.7,830.65,0,47.483,38.508,0,0
20081010,827.5,931.6,823.5,840.4,0,49.447,42.154,0,1
20081017,851.75,871.9,771.75,786,0,41.485,41.931,0,0
20081024,781.35,810,680.8,732.55,0,34.535,39.466,0,0
20081031,733.75,777,706.1,721.5,0,28.433,35.788,0,1
20081107,721.35,765.4,721.05,734.6,0,26.106,32.561,0,0
20081114,740.2,768.2,699.7,746.4,0,26.122,30.415,0,0
20081121,739.9,801.9,730,798.95,0,33.118,31.316,0,0
20081128,800.7,830.8,786.43,817.88,0,40.298,34.31,0,0
20081205,816.77,818.45,741.1,756.35,0,36.906,35.175,0,0
20081212,755.2,834.7,753.95,819.6,0,48.815,39.722,0,0
20081219,830.8,881.9,821.25,837.15,0,58.459,45.968,0,1
20081226,838.2,872.9,829.35,867.4,0,69.653,53.863,0,0
20090102,876.35,890.25,856.5,875.55,0,77.197,61.641,0,0
20090109,880,884.9,836,851.85,0,78.081,67.121,0,0
20090116,856.2,856.75,801.65,817.1,0,70.171,68.138,0,0
20090123,843.8,903.1,823.4,898.15,0,79.096,71.79,0,0
20090130,898.95,929.45,873.7,926.55,0,85.551,76.377,0,0
20090206,925.1,925.75,895.45,910,0,86.673,79.809,0,0
20090213,910.75,952,890.65,940.6,0,88.588,82.735,0,0
20090220,939.45,1005.95,936.2,993.5,0,90.361,85.277,0,0
20090227,992.4,997.4,927,942.8,0,83.27,84.608,0,0
20090306,942.95,958.15,904.3,932.2,0,76.814,82.01,0,0
20090313,935.8,942.1,891.3,926,0,71.498,78.506,0,0
20090320,924.35,966.9,883.75,950.15,0,70.81,75.941,0,0
20090327,958.5,966.9,916.35,923.1,0,59.658,70.513,0,0
20090403,924.45,932.92,890.6,892.75,0,42.227,61.084,0,0
20090410,896.33,896.8,867.21,880.65,0,31.38,51.183,0,0
20090417,882.3,899.7,865.18,868.5,0,21.706,41.357,0,0
20090424,869.5,913.78,864.8,912.65,0,26.5,36.405,0,0
20090501,915.05,918.4,879.55,885.95,0,24.571,32.46,0,0
20090508,886.2,925.35,884.9,916.15,0,33.146,32.689,0,0
20090515,915.7,934.1,908.45,931.4,0,43.84,36.406,0,0
20090522,930.65,961.42,915.05,956.85,0,59.279,44.03,0,0
20090529,956.77,980.22,941.05,978.47,0,72.347,53.469,0,0
20090605,978.25,989.97,952.55,954.88,0,72.22,59.72,0,0
20090612,955.45,965.2,935.82,938.75,0,67.84,62.426,0,0
20090619,938.8,942.7,925.94,933.4,0,63.495,62.783,0,0
20090626,933.5,948.2,912.83,939.1,0,60.307,61.957,0,0
20090703,938.55,946.4,923.07,932.5,0,55.306,59.74,0,0
20090710,931.8,932.15,904.93,912.55,0,39.857,53.113,0,0
20090717,912.05,942.02,907.8,936.85,0,39.083,48.436,0,0
20090724,939.8,957.35,939.3,950.95,0,44.094,46.989,0,0
20090731,950.85,958.8,925.1,953.5,0,48.434,47.471,0,0
20090807,952,971.25,950.85,954.4,0,57.154,50.698,0,0
20090814,953.9,960.55,939.4,948.1,0,59.8,53.732,0,0
20090821,946,957.85,929.7,953.4,0,64.229,57.231,0,0
20090828,951.9,960.25,939.3,954.45,0,67.708,60.724,0,0
20090904,954.55,997.2,943.8,993.4,0,77.1,66.182,0,0
20090911,992.45,1011.6,982.1,1004.8,0,82.549,71.638,0,0
20090918,1004.65,1023.9,991.7,1007.1,0,82.698,75.325,0,0
20090925,1004.15,1019.5,984.7,990.65,0,77.248,75.966,0,0
20091002,993.6,1009.4,984.2,1002.4,0,77.224,76.385,0,0
20091009,1001.3,1061.1,999.8,1048.3,0,81.569,78.113,0,0
20091016,1048.05,1070.4,1042.6,1053.1,0,83.614,79.947,0,0
20091023,1051.45,1067.7,1046.8,1055,0,85.16,81.685,0,0
20091030,1053.8,1059.6,1025.75,1045.05,0,83.432,82.267,0,0
20091106,1043.65,1100.9,1040.25,1094.8,0,87.243,83.926,0,0
20091113,1096.4,1122.9,1094.9,1118.75,0,90.498,86.117,0,0
20091120,1118.6,1152.8,1118.6,1150.2,0,93.151,88.462,0,0
20091127,1150.8,1194.9,1136.8,1174.2,0,92.159,89.694,0,0
20091204,1178.8,1226.65,1147.05,1160.05,0,84.987,88.125,0,0
20091211,1157.55,1168.5,1109.1,1114.9,0,71.45,82.567,0,0
20091218,1113.4,1141.6,1094.6,1111.4,0,61.844,75.659,0,0
20091225,1109.2,1119.6,1074.1,1104,0,54.213,68.51,0,0
20091231,1106.55,1113.75,1085.9,1096.4,0,46.183,61.068,0,0
20100108,1096.85,1140.45,1093.05,1136.2,0,44.358,55.498,0,0
20100115,1137.3,1161.6,1118.5,1131,0,42.005,51,0,0
20100122,1128.9,1141.45,1081.9,1093.5,0,32.242,44.748,0,0
20100129,1091.95,1104,1073.75,1081.2,0,23.119,37.538,0,0
20100205,1080.25,1125.75,1044.2,1066.6,0,21.42,32.165,0,0
20100212,1067,1097.7,1061.4,1092.05,0,27.866,30.732,0,0
20100219,1092.3,1126.85,1091.5,1116.85,0,39.205,33.556,0,0
20100226,1121.8,1130.9,1088.3,1116.65,0,46.707,37.94,0,0
20100305,1117.2,1145.1,1112.1,1131.55,0,55.939,43.94,0,0
20100312,1135.05,1137.6,1098.25,1102.35,0,53.803,47.228,0,0
20100319,1100.15,1132.8,1099.9,1106.5,0,56.45,50.302,0,0
20100326,1106.95,1108.9,1084.85,1106.9,0,58.347,52.984,0,0
20100402,1110.15,1127.95,1101.45,1120,0,63.939,56.636,0,0
20100409,1120.7,1164.75,1118.2,1161.68,0,74.969,62.747,0,0
20100416,1169.15,1169.65,1129.6,1137.2,0,70.557,65.35,0,0
20100423,1133.55,1157.7,1123.68,1157.57,0,75.623,68.775,0,0
20100430,1156,1181.56,1146,1178.8,0,82.798,73.449,0,0
20100507,1178.5,1213.68,1157.1,1208.09,0,87.085,77.994,0,0
20100514,1200.05,1249.25,1183.84,1231.9,0,87.872,81.287,0,0
20100521,1230.88,1242.25,1166,1177.05,0,77.276,79.95,0,0
20100528,1178.45,1218.32,1175.98,1214.21,0,76.948,78.949,0,0
20100604,1212.9,1228.75,1196.31,1219.65,0,77.103,78.334,0,0
